,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
1990,Slovenia,2016,14416.66,81.66,2.55,36.13,3.95,14540.949999999999
1991,Spain,2016,260759.56,1566.01,60.06,815.38,228.25,263429.26
1992,Sweden,2016,42972.57,180.44,15.36,132.39,18.52,43319.28
1993,Switzerland,2016,39192.61,197.21,9.69,70.69,5.22,39475.420000000006
1994,Turkey,2016,401239.74,2154.33,125.52,804.87,2250.98,406575.44
1995,Ukraine,2016,234200.3,2639.76,121.78,580.29,800.81,238342.94
1996,United Kingdom of Great Britain and Northern Ireland,2016,399824.3,2061.65,63.56,907.08,182.09,403038.68000000005
1997,United States of America,2016,5292267.56,24969.79,1429.76,9465.58,2685.06,5330817.749999999
1998,Uruguay,2016,6863.1,16588.93,8575.65,57.0,26.0,32110.68
1999,Australia,2017,415097.43,4326.83,71.36,2662.48,2286.54,424444.63999999996
2000,Austria,2017,69628.86,265.04,11.95,160.06,12.75,70078.65999999999
2001,Belarus,2017,60742.93,637.26,48.44,2.13,3.62,61434.380000000005
2002,Belgium,2017,99456.28,317.28,20.06,172.57,38.35,100004.54000000001
2003,Bulgaria,2017,47505.16,280.05,17.93,130.86,410.04,48344.04000000001
2004,Canada,2017,572834.39,3675.72,122.67,,,576632.78
2005,Croatia,2017,18737.69,162.76,5.81,49.99,12.48,18968.73
2006,Cyprus,2017,7515.69,35.01,0.99,15.22,16.54,7583.45
2007,Czechia,2017,105641.73,531.21,21.54,167.31,109.92,106471.70999999999
2008,Denmark,2017,36213.25,291.22,18.86,114.21,11.3,36648.840000000004
2009,Dominica,2017,156.85,52.34,2.29,,,211.48
2010,Estonia,2017,18635.87,45.18,3.1,41.28,31.83,18757.26
2011,Finland,2017,44673.06,184.21,16.17,124.02,35.49,45032.94999999999
2012,France,2017,352178.98,2295.16,140.98,925.55,183.44,355724.1099999999
2013,Germany,2017,786654.55,2189.53,125.98,1283.88,301.45,790555.39
2014,Greece,2017,74852.85,402.37,14.65,250.45,105.55,75625.87
2015,Hungary,2017,49684.85,294.98,16.11,119.89,27.82,50143.65
2016,Iceland,2017,3614.87,25.48,1.08,21.23,49.65,3712.31
2017,Ireland,2017,38910.19,559.68,22.65,108.82,13.46,39614.8
2018,Israel,2017,65055.35,7307.25,1788.47,98.17,67.43,74316.67
2019,Italy,2017,351473.93,1746.32,60.43,674.8,115.42,354070.89999999997
2020,Japan,2017,1187661.45,1209.49,68.52,1355.88,695.31,1190990.65
2021,Kazakhstan,2017,307926.54,2208.47,57.2,630.91,661.33,311484.44999999995
2022,Latvia,2017,7222.78,72.53,6.49,32.88,3.59,7338.2699999999995
2023,Liechtenstein,2017,156.28,0.72,0.03,,,157.03
2024,Lithuania,2017,13545.85,131.08,10.3,55.89,12.65,13755.769999999999
2025,Luxembourg,2017,9250.4,23.75,1.05,21.66,0.96,9297.819999999998
2026,Malta,2017,1553.0,7.63,0.14,6.34,1.04,1568.15
2027,Monaco,2017,73.05,0.05,0.01,0.16,0.01,73.28
2028,Netherlands,2017,164444.77,720.49,29.05,220.68,26.08,165441.06999999995
2029,New Zealand,2017,36153.33,1370.2,25.16,170.78,73.67,37793.14
2030,Norway,2017,43562.54,194.69,7.99,161.63,15.36,43942.21
2031,Poland,2017,337340.42,1969.51,73.72,803.65,582.65,340769.95
2032,Portugal,2017,54719.98,366.73,10.91,157.42,47.14,55302.18000000001
2033,Romania,2017,78077.49,1148.26,26.35,207.6,85.18,79544.88
2034,Russian Federation,2017,1646179.81,15355.99,289.44,4448.25,720.85,1666994.34
2035,Slovakia,2017,36087.34,184.65,6.77,67.29,27.87,36373.92
2036,Slovenia,2017,14264.75,79.78,2.47,34.75,4.13,14385.88
2037,Spain,2017,274671.26,1583.45,62.18,818.05,235.46,277370.4
2038,Sweden,2017,42306.82,178.82,15.96,128.83,17.73,42648.16
2039,Switzerland,2017,38182.27,194.74,10.34,67.13,5.03,38459.50999999999
2040,Turkey,2017,425329.23,2169.25,130.34,777.19,2360.54,430766.55
2041,Ukraine,2017,223232.15,2546.15,116.96,572.57,724.28,227192.11
2042,United Kingdom of Great Britain and Northern Ireland,2017,388803.41,2078.63,64.79,881.09,177.96,392005.88
2043,United States of America,2017,5253606.13,25212.18,1413.62,8983.66,2548.0,5291763.59
2044,Uruguay,2017,6530.0,16519.47,8823.53,57.3,24.5,31954.8
2045,Australia,2018,415953.95,4381.29,67.5,2721.85,2121.03,425245.62
2046,Austria,2018,66719.68,257.55,11.83,149.0,11.67,67149.73
2047,Belarus,2018,61871.68,643.9,47.05,2.33,4.81,62569.770000000004
2048,Belgium,2018,100207.84,313.95,19.14,167.05,37.97,100745.95
2049,Bulgaria,2018,43551.6,270.15,17.58,121.98,359.55,44320.86000000001
2050,Canada,2018,586504.63,3656.96,127.33,,,590288.9199999999
2051,Croatia,2018,17718.65,155.55,5.66,45.92,10.16,17935.94
2052,Cyprus,2018,7332.76,35.38,1.0,14.8,17.71,7401.650000000001
2053,Czechia,2018,104411.21,526.2,20.38,160.87,96.51,105215.17
2054,Denmark,2018,36246.2,294.74,18.19,108.86,11.82,36679.81
2055,Estonia,2018,17710.95,44.7,3.06,42.15,35.96,17836.820000000003
2056,Finland,2018,45849.35,181.63,16.0,119.8,33.39,46200.17
2057,France,2018,338327.1,2260.0,135.31,871.52,180.04,341773.97
2058,Germany,2018,755362.34,2105.68,119.19,1197.59,288.68,759073.48
2059,Greece,2018,71797.87,403.64,14.38,169.19,98.99,72484.07
2060,Hungary,2018,49628.49,290.88,16.3,119.14,23.04,50077.85
2061,Iceland,2018,3674.53,25.2,1.03,21.9,54.71,3777.3700000000003
2062,Ireland,2018,38803.39,559.4,23.33,108.51,12.17,39506.8
2063,Israel,2018,64804.64,7380.9,1936.9,94.68,56.2,74273.31999999998
2064,Italy,2018,348085.03,1721.31,59.38,672.3,110.45,350648.47000000003
2065,Japan,2018,1135688.0,1194.2,67.11,1316.62,694.93,1138960.86
2066,Kazakhstan,2018,319647.41,2313.31,58.14,653.88,668.74,323341.48
2067,Latvia,2018,7859.29,69.34,6.29,33.85,3.83,7972.6
2068,Liechtenstein,2018,143.75,0.73,0.03,,,144.51
2069,Lithuania,2018,13669.49,122.57,9.92,56.23,12.66,13870.869999999999
2070,Luxembourg,2018,9568.52,23.51,1.05,19.74,0.92,9613.74
2071,Malta,2018,1531.58,7.99,0.14,4.52,0.33,1544.56
2072,Monaco,2018,74.76,0.05,0.01,0.14,0.01,74.97000000000001
2073,Netherlands,2018,160170.15,692.35,28.02,211.61,24.51,161126.63999999998
2074,New Zealand,2018,35080.34,1371.45,25.48,168.34,71.35,36716.95999999999
2075,Norway,2018,43817.66,192.18,7.88,163.49,16.28,44197.49
2076,Poland,2018,337705.74,1950.13,74.18,,,339730.05
2077,Portugal,2018,51482.48,365.06,10.79,152.38,45.17,52055.88
2078,Romania,2018,76951.22,1127.35,28.92,204.04,80.03,78391.56
2079,Russian Federation,2018,1691360.43,15841.35,288.36,4549.64,739.89,1712779.67
2080,Slovakia,2018,36087.84,177.68,7.04,66.06,20.23,36358.85
2081,Slovenia,2018,14487.84,77.45,2.53,33.8,4.08,14605.7
2082,Spain,2018,269654.25,1588.89,61.79,772.6,212.25,272289.77999999997
2083,Sweden,2018,41766.18,175.22,15.11,126.86,17.38,42100.75
2084,Switzerland,2018,36895.48,193.6,9.66,64.29,4.99,37168.020000000004
2085,Turkey,2018,419194.75,2303.04,130.62,782.8,2524.42,424935.62999999995
2086,Ukraine,2018,231694.16,2700.8,129.69,590.11,787.83,235902.58999999997
